generation,avg_engagement,avg_reach,avg_retention,avg_saturation,avg_prod_time
0,0.41972948127974247,0.3267960677862893,0.4704570764766068,0.043478260869565216,2.1565217391304343
1,0.408133193879068,0.3191646351734817,0.45887692870244895,0.042067307692307696,2.0339285714285715
2,0.3932057317784724,0.3011818489549801,0.44272214720260866,0.03183023872679045,1.8502463054187193
3,0.4053714445841823,0.312747196480188,0.45601507308346606,0.038461538461538464,1.8987012987012988
4,0.4055073355711984,0.31708735465970034,0.4557300815346997,0.04026610644257703,1.86890756302521
5,0.4044795503773154,0.3154067450556574,0.45471067534449017,0.03886853886853888,1.831746031746032
6,0.4081088248115312,0.3219043986589705,0.458303827192954,0.03687837586142671,1.845036319612591
7,0.42258605665246046,0.3392699406252856,0.4734193166283964,0.04273504273504274,1.9026455026455027
8,0.4253938766500403,0.3424783076880026,0.4759783529844426,0.05019980019980021,1.8744588744588744
9,0.43704432885445355,0.35682057685120505,0.4882918244742283,0.061340299045217095,1.9025761124121778
10,0.44728027359624517,0.37105193736926884,0.4985483013923617,0.07172442941673711,1.9604395604395606
11,0.44731554566369736,0.368257102347014,0.498798066852455,0.06571131571131572,1.9428571428571424
12,0.4483197885760733,0.36709176424505635,0.5000415437386543,0.06318681318681321,1.9342857142857142
13,0.444914341571908,0.36152979237940885,0.4966423552520237,0.06298223053542204,1.9136778115501518
14,0.4491655405138834,0.36715015291637343,0.5009692563198715,0.06425824175824177,1.9205714285714286
15,0.45148869114934653,0.370328340787889,0.5036986504277589,0.06575549450549452,1.9228571428571428
16,0.4525244932514985,0.37226784530564266,0.5046316529397558,0.07303571428571431,1.9188571428571428
17,0.4527039973835965,0.37039111398731583,0.5048601705439743,0.07804945054945056,1.9194285714285715
18,0.4570923776610571,0.376693191579402,0.5096065912822121,0.08057692307692309,1.9411428571428573
19,0.4580858808063212,0.3799493930233263,0.5108159998862584,0.08134615384615385,1.9565714285714284
20,0.4634792141658241,0.38689039525797,0.5162667087713436,0.08612637362637365,1.9880000000000004
21,0.4634839084363972,0.38671873155377073,0.5161077313413841,0.08719780219780222,1.9925714285714289
22,0.4672142958364358,0.39661991721487916,0.5197635091878338,0.09326923076923078,2.0308571428571423
23,0.4688051612370297,0.3991286589263234,0.5212123532718311,0.09320054945054945,2.041714285714286
24,0.46393005018636624,0.39411729468619117,0.5163779829075312,0.08912087912087913,2.0000000000000004
25,0.47395515328117754,0.4090373917869293,0.5268432355721382,0.09464285714285717,2.070857142857143
26,0.4740580971313244,0.40750672222716294,0.5271077436459343,0.09756868131868134,2.079428571428571
27,0.4763563030801366,0.4122069230539847,0.5296363121762322,0.09678571428571431,2.1074285714285717
28,0.4791296520974297,0.4157774356456333,0.5328504915649132,0.09418956043956045,2.129142857142857
29,0.48093643011326714,0.4233735279824406,0.5350388061075624,0.10027472527472531,2.137142857142857
30,0.47377614858834766,0.41365164904989216,0.5271700398318149,0.09784340659340661,2.0845714285714285
31,0.4712662930771524,0.4116640413734459,0.5246459196841113,0.09770604395604396,2.072
32,0.478381245098128,0.42113180805500966,0.5325882146547724,0.10399725274725276,2.109142857142857
33,0.4744146198866935,0.4143238211731606,0.5280437584744699,0.10657967032967036,2.074285714285714
34,0.4704386992209553,0.40888992058192586,0.5237467957064389,0.10583791208791211,2.0497142857142854
35,0.4807417833507831,0.42103972533264844,0.534484525640287,0.11869505494505496,2.1028571428571428
36,0.4792159029973274,0.4169245132161096,0.5327691879775416,0.12508241758241762,2.081142857142857
37,0.4804825825808188,0.42089288542952913,0.5334842433465937,0.12888736263736267,2.0714285714285716
38,0.486608975213659,0.42849728572803625,0.5407227603476489,0.12138736263736265,2.1165714285714285
39,0.48011891038642923,0.4194368037847586,0.5341155252132805,0.12381868131868135,2.0754285714285716
40,0.4811758766356973,0.4210255421690514,0.5354196017645932,0.12630494505494508,2.089142857142857
41,0.48315759005223724,0.4259786461303707,0.5370843450985192,0.12592032967032968,2.1068571428571428
42,0.4852662234893766,0.42467827004021536,0.5398419443213901,0.13042582417582418,2.116
43,0.49110489315601213,0.4298584246542794,0.5456954388112811,0.13737637362637367,2.1411428571428575
44,0.4825489958542076,0.4178235998563447,0.5373650323391249,0.13631868131868133,2.0788571428571423
45,0.4842251452020755,0.42151776026894994,0.538317228536335,0.134945054945055,2.0868571428571427
